word,meaning,sentences,image_terms
コンビニ,loja de conveniência,コンビニに行きます。|コンビニで水を買います。|このコンビニは便利です。|夜コンビニに行きました。|コンビニで働きます。,convenience store|japanese convenience store|night store
スーパー,supermercado,スーパーに行きます。|スーパーで野菜を買います。|このスーパーは安いです。|毎日スーパーに行きます。|スーパーは大きいです。,supermarket|grocery store|market
カフェ,café,カフェに行きます。|カフェでコーヒーを飲みます。|このカフェは静かです。|カフェで勉強します。|友達とカフェに行きます。,cafe|coffee shop|coffee
レストラン,restaurante,レストランに行きます。|レストランで食べます。|このレストランは有名です。|家族とレストランに行きます。|レストランで働きます。,restaurant|dining|food restaurant
ホテル,hotel,ホテルに泊まります。|このホテルは高いです。|ホテルで朝ごはんを食べます。|ホテルにチェックインします。|ホテルはきれいです。,hotel|hotel room|lobby
タクシー,táxi,タクシーに乗ります。|タクシーで行きます。|タクシーを呼びます。|タクシーは便利です。|タクシーで帰ります。,taxi|cab|ride
バス,ônibus,バスに乗ります。|バスで学校に行きます。|バスは速いです。|バスを待ちます。|バスで帰ります。,bus|public transport|city bus
テレビ,televisão,テレビを見ます。|テレビは面白いです。|毎日テレビを見ます。|テレビでニュースを見ます。|テレビを買いました。,television|tv|watching tv
スマホ,smartphone,スマホを使います。|スマホで電話します。|スマホは便利です。|新しいスマホを買いました。|スマホで写真を撮ります。,smartphone|mobile phone|cell phone
パソコン,computador,パソコンを使います。|パソコンで仕事します。|パソコンは便利です。|新しいパソコンを買いました。|パソコンで勉強します。,computer|laptop|pc
インターネット,internet,インターネットを使います。|インターネットで調べます。|インターネットは速いです。|毎日インターネットを使います。|インターネットで勉強します。,internet|online|web
メール,email,メールを送ります。|メールを読みます。|毎日メールをチェックします。|メールを書きます。|友達にメールします。,email|mail|message
アプリ,aplicativo,アプリを使います。|新しいアプリをダウンロードします。|このアプリは便利です。|毎日アプリを使います。|アプリを作ります。,app|mobile app|application
データ,dados,データを保存します。|データを見ます。|データを使います。|データを送ります。|データを削除します。,data|database|information
サーバー,servidor,サーバーを使います。|サーバーを管理します。|サーバーは速いです。|サーバーに接続します。|サーバーを設定します。,server|data server|hosting
キーボード,teclado,キーボードを使います。|キーボードで入力します。|キーボードは便利です。|新しいキーボードを買いました。|キーボードを掃除します。,keyboard|typing|computer keyboard
マウス,mouse,マウスを使います。|マウスでクリックします。|マウスは便利です。|新しいマウスを買いました。|マウスを動かします。,mouse|computer mouse|pc mouse
プログラム,programa,プログラムを書きます。|プログラムを作ります。|プログラムを勉強します。|プログラムを実行します。|プログラムを修正します。,programming|code|software
パン,pão,パンを食べます。|パンを買います。|このパンはおいしいです。|朝パンを食べます。|パンが好きです。,bread|bakery|fresh bread
コーヒー,café,コーヒーを飲みます。|朝コーヒーを飲みます。|コーヒーは苦いです。|カフェでコーヒーを飲みます。|コーヒーが好きです。,coffee|espresso|cafe coffee
ジュース,suco,ジュースを飲みます。|ジュースを買います。|このジュースは甘いです。|毎日ジュースを飲みます。|ジュースが好きです。,juice|fruit juice|drink
ビール,cerveja,ビールを飲みます。|ビールは冷たいです。|友達とビールを飲みます。|ビールを買います。|ビールが好きです。,beer|drink beer|alcohol drink
ワイン,vinho,ワインを飲みます。|赤ワインを飲みます。|ワインはおいしいです。|ワインを買います。|ワインが好きです。,wine|red wine|drink wine
アイスクリーム,sorvete,アイスクリームを食べます。|アイスクリームは冷たいです。|夏にアイスクリームを食べます。|アイスクリームを買います。|アイスクリームが好きです。,ice cream|dessert|cold dessert
サラダ,salada,サラダを食べます。|サラダを作ります。|サラダは健康です。|サラダを買います。|毎日サラダを食べます。,salad|healthy food|vegetable salad
チーズ,queijo,チーズを食べます。|チーズはおいしいです。|チーズを買います。|パンにチーズをのせます。|チーズが好きです。,cheese|dairy|food cheese
カレー,curry,カレーを食べます。|カレーを作ります。|カレーは辛いです。|毎週カレーを食べます。|カレーが好きです。,curry|japanese curry|food curry
ピザ,pizza,ピザを食べます。|ピザを注文します。|ピザはおいしいです。|友達とピザを食べます。|ピザが好きです。,pizza|food pizza|italian pizza
ハンバーガー,hambúrguer,ハンバーガーを食べます。|ハンバーガーを買います。|ハンバーガーはおいしいです。|昼ハンバーガーを食べます。|ハンバーガーが好きです。,burger|hamburger|fast food
ラーメン,ramen,ラーメンを食べます。|ラーメンはおいしいです。|夜ラーメンを食べます。|ラーメンを作ります。|ラーメンが好きです。,ramen|japanese noodles|noodle soup
ゲーム,jogo,ゲームを使います。|ゲームを見ます。|ゲームを買います。|ゲームは便利です。|ゲームが好きです。,ゲーム|daily ゲーム|japanese ゲーム
カメラ,câmera,カメラを使います。|カメラを見ます。|カメラを買います。|カメラは便利です。|カメラが好きです。,カメラ|daily カメラ|japanese カメラ
ノート,caderno,ノートを使います。|ノートを見ます。|ノートを買います。|ノートは便利です。|ノートが好きです。,ノート|daily ノート|japanese ノート
ペン,caneta,ペンを使います。|ペンを見ます。|ペンを買います。|ペンは便利です。|ペンが好きです。,ペン|daily ペン|japanese ペン
ドア,porta,ドアを使います。|ドアを見ます。|ドアを買います。|ドアは便利です。|ドアが好きです。,ドア|daily ドア|japanese ドア
エアコン,ar-condicionado,エアコンを使います。|エアコンを見ます。|エアコンを買います。|エアコンは便利です。|エアコンが好きです。,エアコン|daily エアコン|japanese エアコン
シャワー,chuveiro,シャワーを使います。|シャワーを見ます。|シャワーを買います。|シャワーは便利です。|シャワーが好きです。,シャワー|daily シャワー|japanese シャワー
ベッド,cama,ベッドを使います。|ベッドを見ます。|ベッドを買います。|ベッドは便利です。|ベッドが好きです。,ベッド|daily ベッド|japanese ベッド
テレビゲーム,videogame,テレビゲームを使います。|テレビゲームを見ます。|テレビゲームを買います。|テレビゲームは便利です。|テレビゲームが好きです。,テレビゲーム|daily テレビゲーム|japanese テレビゲーム
ニュース,notícia,ニュースを使います。|ニュースを見ます。|ニュースを買います。|ニュースは便利です。|ニュースが好きです。,ニュース|daily ニュース|japanese ニュース
スポーツ,esporte,スポーツを使います。|スポーツを見ます。|スポーツを買います。|スポーツは便利です。|スポーツが好きです。,スポーツ|daily スポーツ|japanese スポーツ
サッカー,futebol,サッカーを使います。|サッカーを見ます。|サッカーを買います。|サッカーは便利です。|サッカーが好きです。,サッカー|daily サッカー|japanese サッカー
バスケット,basquete,バスケットを使います。|バスケットを見ます。|バスケットを買います。|バスケットは便利です。|バスケットが好きです。,バスケット|daily バスケット|japanese バスケット
テニス,tênis,テニスを使います。|テニスを見ます。|テニスを買います。|テニスは便利です。|テニスが好きです。,テニス|daily テニス|japanese テニス
ランニング,corrida,ランニングを使います。|ランニングを見ます。|ランニングを買います。|ランニングは便利です。|ランニングが好きです。,ランニング|daily ランニング|japanese ランニング
トレーニング,treinamento,トレーニングを使います。|トレーニングを見ます。|トレーニングを買います。|トレーニングは便利です。|トレーニングが好きです。,トレーニング|daily トレーニング|japanese トレーニング
ジム,academia,ジムを使います。|ジムを見ます。|ジムを買います。|ジムは便利です。|ジムが好きです。,ジム|daily ジム|japanese ジム
ヨガ,yoga,ヨガを使います。|ヨガを見ます。|ヨガを買います。|ヨガは便利です。|ヨガが好きです。,ヨガ|daily ヨガ|japanese ヨガ
ダンス,dança,ダンスを使います。|ダンスを見ます。|ダンスを買います。|ダンスは便利です。|ダンスが好きです。,ダンス|daily ダンス|japanese ダンス
ミュージック,música,ミュージックを使います。|ミュージックを見ます。|ミュージックを買います。|ミュージックは便利です。|ミュージックが好きです。,ミュージック|daily ミュージック|japanese ミュージック
ギター,guitarra,ギターを使います。|ギターを見ます。|ギターを買います。|ギターは便利です。|ギターが好きです。,ギター|daily ギター|japanese ギター
ピアノ,piano,ピアノを使います。|ピアノを見ます。|ピアノを買います。|ピアノは便利です。|ピアノが好きです。,ピアノ|daily ピアノ|japanese ピアノ
ドラム,bateria,ドラムを使います。|ドラムを見ます。|ドラムを買います。|ドラムは便利です。|ドラムが好きです。,ドラム|daily ドラム|japanese ドラム
バンド,banda,バンドを使います。|バンドを見ます。|バンドを買います。|バンドは便利です。|バンドが好きです。,バンド|daily バンド|japanese バンド
ライブ,show ao vivo,ライブを使います。|ライブを見ます。|ライブを買います。|ライブは便利です。|ライブが好きです。,ライブ|daily ライブ|japanese ライブ
イベント,evento,イベントを使います。|イベントを見ます。|イベントを買います。|イベントは便利です。|イベントが好きです。,イベント|daily イベント|japanese イベント
パーティー,festa,パーティーを使います。|パーティーを見ます。|パーティーを買います。|パーティーは便利です。|パーティーが好きです。,パーティー|daily パーティー|japanese パーティー
プレゼント,presente,プレゼントを使います。|プレゼントを見ます。|プレゼントを買います。|プレゼントは便利です。|プレゼントが好きです。,プレゼント|daily プレゼント|japanese プレゼント
バースデー,aniversário,バースデーを使います。|バースデーを見ます。|バースデーを買います。|バースデーは便利です。|バースデーが好きです。,バースデー|daily バースデー|japanese バースデー
クリスマス,natal,クリスマスを使います。|クリスマスを見ます。|クリスマスを買います。|クリスマスは便利です。|クリスマスが好きです。,クリスマス|daily クリスマス|japanese クリスマス
ハロウィン,halloween,ハロウィンを使います。|ハロウィンを見ます。|ハロウィンを買います。|ハロウィンは便利です。|ハロウィンが好きです。,ハロウィン|daily ハロウィン|japanese ハロウィン
ショップ,loja,ショップを使います。|ショップを見ます。|ショップを買います。|ショップは便利です。|ショップが好きです。,ショップ|daily ショップ|japanese ショップ
マーケット,mercado,マーケットを使います。|マーケットを見ます。|マーケットを買います。|マーケットは便利です。|マーケットが好きです。,マーケット|daily マーケット|japanese マーケット
サービス,serviço,サービスを使います。|サービスを見ます。|サービスを買います。|サービスは便利です。|サービスが好きです。,サービス|daily サービス|japanese サービス
ビジネス,negócios,ビジネスを使います。|ビジネスを見ます。|ビジネスを買います。|ビジネスは便利です。|ビジネスが好きです。,ビジネス|daily ビジネス|japanese ビジネス
プロジェクト,projeto,プロジェクトを使います。|プロジェクトを見ます。|プロジェクトを買います。|プロジェクトは便利です。|プロジェクトが好きです。,プロジェクト|daily プロジェクト|japanese プロジェクト
チーム,equipe,チームを使います。|チームを見ます。|チームを買います。|チームは便利です。|チームが好きです。,チーム|daily チーム|japanese チーム
リーダー,líder,リーダーを使います。|リーダーを見ます。|リーダーを買います。|リーダーは便利です。|リーダーが好きです。,リーダー|daily リーダー|japanese リーダー
メンバー,membro,メンバーを使います。|メンバーを見ます。|メンバーを買います。|メンバーは便利です。|メンバーが好きです。,メンバー|daily メンバー|japanese メンバー
オフィス,escritório,オフィスを使います。|オフィスを見ます。|オフィスを買います。|オフィスは便利です。|オフィスが好きです。,オフィス|daily オフィス|japanese オフィス
ミーティング,reunião,ミーティングを使います。|ミーティングを見ます。|ミーティングを買います。|ミーティングは便利です。|ミーティングが好きです。,ミーティング|daily ミーティング|japanese ミーティング
スケジュール,agenda,スケジュールを使います。|スケジュールを見ます。|スケジュールを買います。|スケジュールは便利です。|スケジュールが好きです。,スケジュール|daily スケジュール|japanese スケジュール
プラン,plano,プランを使います。|プランを見ます。|プランを買います。|プランは便利です。|プランが好きです。,プラン|daily プラン|japanese プラン
アイデア,ideia,アイデアを使います。|アイデアを見ます。|アイデアを買います。|アイデアは便利です。|アイデアが好きです。,アイデア|daily アイデア|japanese アイデア
デザイン,design,デザインを使います。|デザインを見ます。|デザインを買います。|デザインは便利です。|デザインが好きです。,デザイン|daily デザイン|japanese デザイン
カラー,cor,カラーを使います。|カラーを見ます。|カラーを買います。|カラーは便利です。|カラーが好きです。,カラー|daily カラー|japanese カラー
スタイル,estilo,スタイルを使います。|スタイルを見ます。|スタイルを買います。|スタイルは便利です。|スタイルが好きです。,スタイル|daily スタイル|japanese スタイル
ファッション,moda,ファッションを使います。|ファッションを見ます。|ファッションを買います。|ファッションは便利です。|ファッションが好きです。,ファッション|daily ファッション|japanese ファッション
シャツ,camisa,シャツを使います。|シャツを見ます。|シャツを買います。|シャツは便利です。|シャツが好きです。,シャツ|daily シャツ|japanese シャツ
ジャケット,jaqueta,ジャケットを使います。|ジャケットを見ます。|ジャケットを買います。|ジャケットは便利です。|ジャケットが好きです。,ジャケット|daily ジャケット|japanese ジャケット
コート,casaco,コートを使います。|コートを見ます。|コートを買います。|コートは便利です。|コートが好きです。,コート|daily コート|japanese コート
バッグ,bolsa,バッグを使います。|バッグを見ます。|バッグを買います。|バッグは便利です。|バッグが好きです。,バッグ|daily バッグ|japanese バッグ
シューズ,sapatos,シューズを使います。|シューズを見ます。|シューズを買います。|シューズは便利です。|シューズが好きです。,シューズ|daily シューズ|japanese シューズ
アクセサリー,acessório,アクセサリーを使います。|アクセサリーを見ます。|アクセサリーを買います。|アクセサリーは便利です。|アクセサリーが好きです。,アクセサリー|daily アクセサリー|japanese アクセサリー
メガネ,óculos,メガネを使います。|メガネを見ます。|メガネを買います。|メガネは便利です。|メガネが好きです。,メガネ|daily メガネ|japanese メガネ
サングラス,óculos de sol,サングラスを使います。|サングラスを見ます。|サングラスを買います。|サングラスは便利です。|サングラスが好きです。,サングラス|daily サングラス|japanese サングラス
ウォッチ,relógio,ウォッチを使います。|ウォッチを見ます。|ウォッチを買います。|ウォッチは便利です。|ウォッチが好きです。,ウォッチ|daily ウォッチ|japanese ウォッチ
ジュエリー,joia,ジュエリーを使います。|ジュエリーを見ます。|ジュエリーを買います。|ジュエリーは便利です。|ジュエリーが好きです。,ジュエリー|daily ジュエリー|japanese ジュエリー
スマイル,sorriso,スマイルを使います。|スマイルを見ます。|スマイルを買います。|スマイルは便利です。|スマイルが好きです。,スマイル|daily スマイル|japanese スマイル
ハッピー,feliz,ハッピーを使います。|ハッピーを見ます。|ハッピーを買います。|ハッピーは便利です。|ハッピーが好きです。,ハッピー|daily ハッピー|japanese ハッピー
エネルギー,energia,エネルギーを使います。|エネルギーを見ます。|エネルギーを買います。|エネルギーは便利です。|エネルギーが好きです。,エネルギー|daily エネルギー|japanese エネルギー
パワー,poder,パワーを使います。|パワーを見ます。|パワーを買います。|パワーは便利です。|パワーが好きです。,パワー|daily パワー|japanese パワー
スピード,velocidade,スピードを使います。|スピードを見ます。|スピードを買います。|スピードは便利です。|スピードが好きです。,スピード|daily スピード|japanese スピード
バランス,equilíbrio,バランスを使います。|バランスを見ます。|バランスを買います。|バランスは便利です。|バランスが好きです。,バランス|daily バランス|japanese バランス
フォーカス,foco,フォーカスを使います。|フォーカスを見ます。|フォーカスを買います。|フォーカスは便利です。|フォーカスが好きです。,フォーカス|daily フォーカス|japanese フォーカス
チャレンジ,desafio,チャレンジを使います。|チャレンジを見ます。|チャレンジを買います。|チャレンジは便利です。|チャレンジが好きです。,チャレンジ|daily チャレンジ|japanese チャレンジ
チャンス,chance,チャンスを使います。|チャンスを見ます。|チャンスを買います。|チャンスは便利です。|チャンスが好きです。,チャンス|daily チャンス|japanese チャンス
リスク,risco,リスクを使います。|リスクを見ます。|リスクを買います。|リスクは便利です。|リスクが好きです。,リスク|daily リスク|japanese リスク
サポート,suporte,サポートを使います。|サポートを見ます。|サポートを買います。|サポートは便利です。|サポートが好きです。,サポート|daily サポート|japanese サポート
コントロール,controle,コントロールを使います。|コントロールを見ます。|コントロールを買います。|コントロールは便利です。|コントロールが好きです。,コントロール|daily コントロール|japanese コントロール
システム,sistema,システムを使います。|システムを見ます。|システムを買います。|システムは便利です。|システムが好きです。,システム|daily システム|japanese システム
ネットワーク,rede,ネットワークを使います。|ネットワークを見ます。|ネットワークを買います。|ネットワークは便利です。|ネットワークが好きです。,ネットワーク|daily ネットワーク|japanese ネットワーク
セキュリティ,segurança,セキュリティを使います。|セキュリティを見ます。|セキュリティを買います。|セキュリティは便利です。|セキュリティが好きです。,セキュリティ|daily セキュリティ|japanese セキュリティ
ログイン,login,ログインを使います。|ログインを見ます。|ログインを買います。|ログインは便利です。|ログインが好きです。,ログイン|daily ログイン|japanese ログイン
パスワード,senha,パスワードを使います。|パスワードを見ます。|パスワードを買います。|パスワードは便利です。|パスワードが好きです。,パスワード|daily パスワード|japanese パスワード
アカウント,conta,アカウントを使います。|アカウントを見ます。|アカウントを買います。|アカウントは便利です。|アカウントが好きです。,アカウント|daily アカウント|japanese アカウント
アップデート,atualização,アップデートを使います。|アップデートを見ます。|アップデートを買います。|アップデートは便利です。|アップデートが好きです。,アップデート|daily アップデート|japanese アップデート
ダウンロード,download,ダウンロードを使います。|ダウンロードを見ます。|ダウンロードを買います。|ダウンロードは便利です。|ダウンロードが好きです。,ダウンロード|daily ダウンロード|japanese ダウンロード
アップロード,upload,アップロードを使います。|アップロードを見ます。|アップロードを買います。|アップロードは便利です。|アップロードが好きです。,アップロード|daily アップロード|japanese アップロード
ファイル,arquivo,ファイルを使います。|ファイルを見ます。|ファイルを買います。|ファイルは便利です。|ファイルが好きです。,ファイル|daily ファイル|japanese ファイル
フォルダ,pasta,フォルダを使います。|フォルダを見ます。|フォルダを買います。|フォルダは便利です。|フォルダが好きです。,フォルダ|daily フォルダ|japanese フォルダ
リンク,link,リンクを使います。|リンクを見ます。|リンクを買います。|リンクは便利です。|リンクが好きです。,リンク|daily リンク|japanese リンク
クリック,clique,クリックを使います。|クリックを見ます。|クリックを買います。|クリックは便利です。|クリックが好きです。,クリック|daily クリック|japanese クリック
スクロール,rolagem,スクロールを使います。|スクロールを見ます。|スクロールを買います。|スクロールは便利です。|スクロールが好きです。,スクロール|daily スクロール|japanese スクロール
タイプ,digitação,タイプを使います。|タイプを見ます。|タイプを買います。|タイプは便利です。|タイプが好きです。,タイプ|daily タイプ|japanese タイプ
コピー,cópia,コピーを使います。|コピーを見ます。|コピーを買います。|コピーは便利です。|コピーが好きです。,コピー|daily コピー|japanese コピー
ペースト,colar,ペーストを使います。|ペーストを見ます。|ペーストを買います。|ペーストは便利です。|ペーストが好きです。,ペースト|daily ペースト|japanese ペースト
セーブ,salvar,セーブを使います。|セーブを見ます。|セーブを買います。|セーブは便利です。|セーブが好きです。,セーブ|daily セーブ|japanese セーブ
ロード,carregar,ロードを使います。|ロードを見ます。|ロードを買います。|ロードは便利です。|ロードが好きです。,ロード|daily ロード|japanese ロード
エラー,erro,エラーを使います。|エラーを見ます。|エラーを買います。|エラーは便利です。|エラーが好きです。,エラー|daily エラー|japanese エラー
バグ,bug,バグを使います。|バグを見ます。|バグを買います。|バグは便利です。|バグが好きです。,バグ|daily バグ|japanese バグ
テスト,teste,テストを使います。|テストを見ます。|テストを買います。|テストは便利です。|テストが好きです。,テスト|daily テスト|japanese テスト
レビュー,revisão,レビューを使います。|レビューを見ます。|レビューを買います。|レビューは便利です。|レビューが好きです。,レビュー|daily レビュー|japanese レビュー
フィードバック,feedback,フィードバックを使います。|フィードバックを見ます。|フィードバックを買います。|フィードバックは便利です。|フィードバックが好きです。,フィードバック|daily フィードバック|japanese フィードバック
クオリティ,qualidade,クオリティを使います。|クオリティを見ます。|クオリティを買います。|クオリティは便利です。|クオリティが好きです。,クオリティ|daily クオリティ|japanese クオリティ
パフォーマンス,desempenho,パフォーマンスを使います。|パフォーマンスを見ます。|パフォーマンスを買います。|パフォーマンスは便利です。|パフォーマンスが好きです。,パフォーマンス|daily パフォーマンス|japanese パフォーマンス
メモリ,memória,メモリを使います。|メモリを見ます。|メモリを買います。|メモリは便利です。|メモリが好きです。,メモリ|daily メモリ|japanese メモリ
ストレージ,armazenamento,ストレージを使います。|ストレージを見ます。|ストレージを買います。|ストレージは便利です。|ストレージが好きです。,ストレージ|daily ストレージ|japanese ストレージ
クラウド,nuvem,クラウドを使います。|クラウドを見ます。|クラウドを買います。|クラウドは便利です。|クラウドが好きです。,クラウド|daily クラウド|japanese クラウド
バックアップ,backup,バックアップを使います。|バックアップを見ます。|バックアップを買います。|バックアップは便利です。|バックアップが好きです。,バックアップ|daily バックアップ|japanese バックアップ
リスト,lista,リストを使います。|リストを見ます。|リストを買います。|リストは便利です。|リストが好きです。,リスト|daily リスト|japanese リスト
カレンダー,calendário,カレンダーを使います。|カレンダーを見ます。|カレンダーを買います。|カレンダーは便利です。|カレンダーが好きです。,カレンダー|daily カレンダー|japanese カレンダー
タイマー,cronômetro,タイマーを使います。|タイマーを見ます。|タイマーを買います。|タイマーは便利です。|タイマーが好きです。,タイマー|daily タイマー|japanese タイマー
アラーム,alarme,アラームを使います。|アラームを見ます。|アラームを買います。|アラームは便利です。|アラームが好きです。,アラーム|daily アラーム|japanese アラーム
ナビ,navegação,ナビを使います。|ナビを見ます。|ナビを買います。|ナビは便利です。|ナビが好きです。,ナビ|daily ナビ|japanese ナビ
マップ,mapa,マップを使います。|マップを見ます。|マップを買います。|マップは便利です。|マップが好きです。,マップ|daily マップ|japanese マップ
ロケーション,localização,ロケーションを使います。|ロケーションを見ます。|ロケーションを買います。|ロケーションは便利です。|ロケーションが好きです。,ロケーション|daily ロケーション|japanese ロケーション
トラベル,viagem,トラベルを使います。|トラベルを見ます。|トラベルを買います。|トラベルは便利です。|トラベルが好きです。,トラベル|daily トラベル|japanese トラベル
ツアー,tour,ツアーを使います。|ツアーを見ます。|ツアーを買います。|ツアーは便利です。|ツアーが好きです。,ツアー|daily ツアー|japanese ツアー
チケット,ingresso,チケットを使います。|チケットを見ます。|チケットを買います。|チケットは便利です。|チケットが好きです。,チケット|daily チケット|japanese チケット
フライト,voo,フライトを使います。|フライトを見ます。|フライトを買います。|フライトは便利です。|フライトが好きです。,フライト|daily フライト|japanese フライト
エアライン,companhia aérea,エアラインを使います。|エアラインを見ます。|エアラインを買います。|エアラインは便利です。|エアラインが好きです。,エアライン|daily エアライン|japanese エアライン
パスポート,passaporte,パスポートを使います。|パスポートを見ます。|パスポートを買います。|パスポートは便利です。|パスポートが好きです。,パスポート|daily パスポート|japanese パスポート
ビザ,visto,ビザを使います。|ビザを見ます。|ビザを買います。|ビザは便利です。|ビザが好きです。,ビザ|daily ビザ|japanese ビザ
ホテルルーム,quarto de hotel,ホテルルームを使います。|ホテルルームを見ます。|ホテルルームを買います。|ホテルルームは便利です。|ホテルルームが好きです。,ホテルルーム|daily ホテルルーム|japanese ホテルルーム
チェックイン,check-in,チェックインを使います。|チェックインを見ます。|チェックインを買います。|チェックインは便利です。|チェックインが好きです。,チェックイン|daily チェックイン|japanese チェックイン
チェックアウト,check-out,チェックアウトを使います。|チェックアウトを見ます。|チェックアウトを買います。|チェックアウトは便利です。|チェックアウトが好きです。,チェックアウト|daily チェックアウト|japanese チェックアウト
レセプション,recepção,レセプションを使います。|レセプションを見ます。|レセプションを買います。|レセプションは便利です。|レセプションが好きです。,レセプション|daily レセプション|japanese レセプション
ガイド,guia,ガイドを使います。|ガイドを見ます。|ガイドを買います。|ガイドは便利です。|ガイドが好きです。,ガイド|daily ガイド|japanese ガイド
レンタカー,carro alugado,レンタカーを使います。|レンタカーを見ます。|レンタカーを買います。|レンタカーは便利です。|レンタカーが好きです。,レンタカー|daily レンタカー|japanese レンタカー
